DATE	CLOSING PRICE	OPEN	DAILY HIGH	DAILY LOW
8/7/2014	6,597.37	6,636.16	6,649.05	6,589.78
8/6/2014	6,636.16	6,682.48	6,682.48	6,588.43
8/5/2014	6,682.48	6,677.52	6,713.52	6,671.46
8/4/2014	6,677.52	6,679.18	6,715.56	6,669.93
8/1/2014	6,679.18	6,730.11	6,730.11	6,624.72
7/31/2014	6,730.11	6,773.44	6,797.09	6,716.29
7/30/2014	6,773.44	6,807.75	6,815.29	6,758.24
7/29/2014	6,807.75	6,788.07	6,833.67	6,784.04
7/28/2014	6,788.07	6,791.55	6,809.61	6,761.77
7/25/2014	6,791.55	6,821.46	6,830.77	6,780.65
7/24/2014	6,821.46	6,798.15	6,821.46	6,767.33
7/23/2014	6,798.15	6,795.34	6,822.65	6,773.11
7/22/2014	6,795.34	6,728.44	6,801.84	6,728.44
7/21/2014	6,728.44	6,749.45	6,753.42	6,715.78
7/18/2014	6,749.45	6,738.32	6,749.89	6,690.90
7/17/2014	6,738.32	6,784.67	6,784.67	6,727.71
7/16/2014	6,784.67	6,710.45	6,792.55	6,710.45
7/15/2014	6,710.45	6,746.14	6,764.00	6,709.15
7/14/2014	6,746.14	6,690.17	6,760.73	6,690.17
7/11/2014	6,690.17	6,672.37	6,696.10	6,663.67
7/10/2014	6,672.37	6,718.04	6,724.80	6,643.62
7/9/2014	6,718.04	6,738.45	6,740.82	6,692.77
7/8/2014	6,738.45	6,823.51	6,831.02	6,738.45
7/7/2014	6,823.51	6,866.05	6,866.37	6,817.60
7/4/2014	6,866.05	6,865.21	6,875.31	6,856.35
7/3/2014	6,865.21	6,816.37	6,866.56	6,815.45
7/2/2014	6,816.37	6,802.92	6,829.49	6,796.61
7/1/2014	6,802.92	6,743.94	6,805.90	6,743.94
6/30/2014	6,743.94	6,757.77	6,777.11	6,730.45
6/27/2014	6,757.77	6,735.12	6,767.63	6,735.12
6/26/2014	6,735.12	6,733.62	6,753.25	6,701.59
6/25/2014	6,733.62	6,787.07	6,787.07	6,716.35
6/24/2014	6,787.07	6,800.56	6,824.45	6,776.80
6/23/2014	6,800.56	6,825.20	6,829.76	6,785.83
6/20/2014	6,825.20	6,808.11	6,840.62	6,791.20
6/19/2014	6,808.11	6,778.56	6,837.57	6,778.56
6/18/2014	6,778.56	6,766.77	6,799.59	6,766.77
6/17/2014	6,766.77	6,754.64	6,774.87	6,736.11
6/16/2014	6,754.64	6,777.85	6,779.40	6,748.04
6/13/2014	6,777.85	6,843.11	6,843.11	6,758.15
6/12/2014	6,843.11	6,838.87	6,853.18	6,827.03
6/11/2014	6,838.87	6,873.55	6,873.55	6,825.24
6/10/2014	6,873.55	6,875.00	6,875.24	6,835.80
6/9/2014	6,875.00	6,858.21	6,878.96	6,857.70
6/6/2014	6,858.21	6,813.49	6,862.91	6,813.49
6/5/2014	6,813.49	6,818.63	6,847.00	6,795.27
6/4/2014	6,818.63	6,836.30	6,840.60	6,800.10
6/3/2014	6,836.30	6,864.10	6,865.38	6,817.96
6/2/2014	6,864.10	6,844.51	6,874.38	6,844.51
5/30/2014	6,844.51	6,871.29	6,874.33	6,831.99
5/29/2014	6,871.29	6,851.22	6,882.14	6,848.06
5/28/2014	6,851.22	6,844.94	6,855.83	6,833.61
5/27/2014	6,844.94	6,815.75	6,857.10	6,815.37
5/23/2014	6,815.75	6,820.56	6,825.53	6,793.47
5/22/2014	6,820.56	6,821.04	6,846.57	6,810.19
5/21/2014	6,821.04	6,802.00	6,821.04	6,782.80
5/20/2014	6,802.00	6,844.55	6,848.36	6,792.51
5/19/2014	6,844.55	6,855.81	6,862.20	6,804.31
5/16/2014	6,855.81	6,840.89	6,855.94	6,813.50
5/15/2014	6,840.89	6,878.49	6,894.88	6,821.66
5/14/2014	6,878.49	6,873.08	6,880.07	6,854.02
5/13/2014	6,873.08	6,851.75	6,877.39	6,845.95
5/12/2014	6,851.75	6,814.57	6,851.75	6,814.57
5/9/2014	6,814.57	6,839.25	6,839.42	6,805.39
5/8/2014	6,839.25	6,796.44	6,840.37	6,796.44
5/7/2014	6,796.44	6,798.56	6,799.34	6,766.84
5/6/2014	6,798.56	6,822.42	6,828.62	6,785.32
5/2/2014	6,822.42	6,808.87	6,838.17	6,798.61
5/1/2014	6,808.87	6,780.03	6,811.64	6,773.69
4/30/2014	6,780.03	6,769.91	6,794.88	6,748.76
4/29/2014	6,769.91	6,700.16	6,769.91	6,700.10
4/28/2014	6,700.16	6,685.69	6,720.33	6,682.90
4/25/2014	6,685.69	6,703.00	6,704.37	6,657.30
4/24/2014	6,703.00	6,674.74	6,724.58	6,667.65
4/23/2014	6,674.74	6,681.76	6,694.82	6,661.42
4/22/2014	6,681.76	6,625.25	6,706.19	6,625.25
4/17/2014	6,625.25	6,584.17	6,627.25	6,559.35
4/16/2014	6,584.17	6,541.61	6,596.99	6,541.61
4/15/2014	6,541.61	6,583.76	6,594.24	6,534.20
4/14/2014	6,583.76	6,561.70	6,583.76	6,507.08
4/11/2014	6,561.70	6,641.97	6,641.97	6,538.75
4/10/2014	6,641.97	6,635.61	6,688.28	6,620.39
4/9/2014	6,635.61	6,590.69	6,654.05	6,590.41
4/8/2014	6,590.69	6,622.84	6,625.19	6,549.75
4/7/2014	6,622.84	6,695.55	6,695.55	6,614.73
4/4/2014	6,695.55	6,649.14	6,706.34	6,649.14
4/3/2014	6,649.14	6,659.04	6,680.78	6,638.52
4/2/2014	6,659.04	6,652.61	6,672.73	6,639.63
4/1/2014	6,652.61	6,598.37	6,660.27	6,598.37
